plot_id,date,season,district,crop_id,variety,soil_texture,lab_ph,nitrogen,phosphorus,potassium,ec_us_cm,moisture_vwc,yield_t_ha,fertilizer_applied
PLT-0047,2025-12-20,A,Gicumbi,irish_potatoes,Kinigi,clayey,5.87,71.5,49.7,107.8,370.1,49.4,7.36,Urea
PLT-0048,2024-06-27,A,Kamonyi,banana,Local,clayey,5.39,52.0,29.5,111.9,182.9,31.9,4.31,Manure
PLT-0049,2024-02-02,B,Burera,pea,Improved,clayey,6.91,27.8,35.8,31.0,411.3,33.3,0.69,DAP+Urea
PLT-0050,2024-03-04,A,Gatsibo,sunflower,Local,sandy,7.17,37.3,45.9,36.7,305.2,50.7,0.95,Manure
PLT-0051,2026-09-14,A,Rubavu,tea,Local,loamy,5.82,88.6,36.3,85.7,466.1,60.1,1.45,NPK 17-17-17
PLT-0052,2025-07-13,C,Bugesera,soybean,Improved,clayey,6.32,34.8,42.9,47.3,581.0,62.8,0.94,Manure
PLT-0053,2025-07-05,A,Ngoma,cotton,Improved,loamy,5.54,61.4,34.4,45.4,267.3,53.6,0.88,Manure
PLT-0054,2026-05-20,C,Nyabihu,irish_potatoes,Kinigi,clayey,5.32,35.1,42.1,65.0,577.2,66.5,4.77,None
PLT-0055,2025-02-05,C,Muhanga,coffee,Improved,clayey,5.26,65.7,40.8,91.1,258.0,56.5,0.97,NPK+Manure
PLT-0056,2025-01-03,C,Bugesera,soybean,Local,clayey,5.93,21.4,22.2,20.7,307.5,49.3,0.34,None
PLT-0057,2026-04-15,C,Musanze,pea,Improved,loamy,5.25,33.2,35.7,24.5,148.5,69.9,0.78,Manure
PLT-0058,2025-03-21,C,Gakenke,pea,Improved,loamy,5.43,44.5,41.5,47.1,291.9,57.0,1.08,DAP+Urea
PLT-0059,2024-06-17,C,Kamonyi,soybean,Improved,loamy,5.0,43.6,52.5,46.4,260.3,35.5,0.94,NPK 17-17-17
PLT-0060,2026-03-10,B,Rwamagana,sorghum,Improved,sandy,6.53,50.1,39.9,45.7,598.0,60.8,1.17,NPK 17-17-17
PLT-0061,2024-01-26,A,Ngororero,irish_potatoes,Cruza,loamy,5.1,63.0,66.1,89.4,443.9,69.8,5.75,DAP+Urea
PLT-0062,2026-10-23,A,Kayonza,sunflower,Improved,loamy,5.55,37.1,31.1,31.1,127.9,53.1,0.77,Manure
PLT-0063,2024-05-12,B,Kayonza,sorghum,Local,loamy,7.64,49.6,43.2,39.8,277.3,51.8,1.16,NPK+Manure
PLT-0064,2024-07-11,B,Kirehe,groundnut,Improved,loamy,6.85,24.5,32.2,36.2,488.4,41.9,0.74,DAP+Urea
PLT-0065,2025-08-16,A,Burera,tea,Local,loamy,4.63,42.8,13.2,28.0,126.1,34.1,0.81,None
PLT-0066,2026-08-10,A,Gicumbi,sweet_potato,Local,sandy,5.61,30.4,28.2,66.7,231.0,69.1,3.74,Manure
PLT-0067,2026-12-10,C,Muhanga,banana,Improved,loamy,6.27,83.3,40.9,135.2,348.2,56.9,7.73,DAP+Urea
PLT-0068,2025-11-16,A,Rwamagana,sunflower,Local,sandy,7.33,21.4,21.6,22.1,542.8,34.6,0.67,None
PLT-0069,2025-01-14,C,Nyanza,banana,Improved,alluvial,6.69,89.8,36.9,145.7,517.4,66.9,10.41,NPK+Manure
PLT-0070,2025-08-14,C,Nyarugenge,rice,Zhongeng,loamy,7.41,105.9,37.5,46.1,169.5,43.1,2.96,NPK+Manure
PLT-0071,2025-01-28,B,Nyanza,banana,Local,alluvial,6.25,87.5,46.4,178.8,238.0,62.9,8.57,NPK 17-17-17
PLT-0072,2024-07-23,B,Rulindo,barley,Improved,sandy,7.75,68.0,41.7,45.2,366.7,66.1,1.44,NPK+Manure
PLT-0073,2025-12-23,C,Ngororero,coffee,Improved,loamy,4.74,60.3,43.8,92.7,361.6,35.9,0.61,DAP+Urea
PLT-0074,2025-02-04,B,Gisagara,corn,Kigega,loamy,6.52,74.8,35.1,45.8,490.9,51.9,1.66,DAP+Urea
PLT-0075,2024-05-02,B,Kayonza,cassava,Gahene,loamy,4.87,41.5,26.6,71.3,214.2,51.8,9.04,DAP+Urea
PLT-0076,2026-09-15,C,Nyamasheke,coffee,Improved,clayey,6.51,38.6,24.4,63.0,125.1,65.6,0.5,Manure
PLT-0077,2026-02-26,A,Rwamagana,groundnut,Improved,loamy,6.41,35.7,40.4,36.3,307.2,58.1,0.85,DAP+Urea
PLT-0078,2024-05-24,A,Gicumbi,tomatoes,Local,clayey,5.91,94.5,71.4,72.7,410.2,51.8,14.32,DAP+Urea
PLT-0079,2024-01-14,B,Musanze,barley,Improved,sandy,6.47,64.2,40.5,42.2,332.5,36.1,1.36,DAP+Urea
PLT-0080,2024-05-08,B,Karongi,coffee,Improved,clayey,6.09,54.6,26.5,56.1,171.0,65.1,0.58,Urea
PLT-0081,2025-01-03,A,Nyamagabe,sweet_potato,Improved,sandy,5.16,36.1,44.2,89.5,374.5,42.2,5.48,DAP+Urea
PLT-0082,2026-07-19,B,Rwamagana,sorghum,Local,sandy,5.66,56.2,37.0,45.3,216.5,36.4,1.11,DAP+Urea
PLT-0083,2026-11-09,A,Nyaruguru,sugarcane,Improved,alluvial,6.15,44.9,22.6,25.1,326.2,45.2,12.78,None
PLT-0084,2024-02-04,A,Rwamagana,sorghum,Improved,loamy,6.08,56.4,44.0,40.4,148.7,51.2,1.42,NPK 17-17-17
PLT-0085,2024-01-28,A,Kayonza,sunflower,Local,loamy,6.47,46.8,52.3,46.6,397.6,39.8,1.4,NPK 17-17-17
PLT-0086,2025-07-04,A,Nyamasheke,tea,Improved,clayey,4.74,91.6,46.4,94.1,582.0,41.8,1.86,NPK+Manure
PLT-0087,2024-08-11,A,Musanze,pea,Improved,loamy,5.85,13.6,14.5,12.6,133.0,49.0,0.46,None
PLT-0088,2025-11-09,B,Gisagara,sugarcane,Local,clayey,6.75,106.0,55.3,89.6,430.2,55.1,43.9,NPK+Manure
PLT-0089,2025-03-01,C,Rubavu,coffee,Local,loamy,6.53,48.8,35.1,65.5,514.8,54.9,0.43,DAP+Urea
PLT-0090,2026-06-11,B,Kirehe,cotton,Local,alluvial,7.34,31.9,27.4,19.7,248.4,43.7,0.65,None
PLT-0091,2024-09-13,B,Kayonza,groundnut,Local,loamy,5.83,31.6,44.6,42.5,494.8,51.1,0.93,NPK 17-17-17
PLT-0092,2026-05-28,A,Ngoma,groundnut,Local,sandy,6.86,24.2,33.2,36.6,485.1,68.6,0.57,Urea
PLT-0093,2025-04-05,B,Rulindo,barley,Local,sandy,6.74,25.6,19.9,13.0,527.4,61.2,0.5,None
PLT-0094,2024-04-22,B,Gicumbi,tea,Local,loamy,4.06,85.0,36.4,78.7,527.5,43.4,1.16,NPK+Manure
PLT-0095,2024-09-04,B,Bugesera,sorghum,Local,clayey,5.36,53.3,38.0,47.8,110.0,69.4,1.09,DAP+Urea
PLT-0096,2025-04-18,A,Ngoma,banana,Improved,alluvial,5.87,24.1,20.7,87.9,283.3,68.7,3.47,None
PLT-0097,2024-03-01,A,Bugesera,banana,Local,clayey,6.98,77.3,36.5,167.3,108.5,33.2,9.72,DAP+Urea
PLT-0098,2026-11-10,A,Rubavu,tea,Improved,loamy,5.38,57.8,37.3,49.5,482.5,54.8,1.16,Urea
PLT-0099,2026-05-24,B,Bugesera,rice,Intsindagirabigega,alluvial,6.32,62.5,26.6,36.8,107.0,40.1,2.74,Manure
PLT-0100,2024-12-01,A,Ngoma,corn,Hybrid WH,sandy,5.31,71.5,39.2,31.7,311.2,68.2,1.66,Manure
PLT-0101,2026-04-25,A,Musanze,pea,Improved,loamy,5.84,22.5,18.7,12.1,240.6,62.4,0.53,None
PLT-0102,2025-09-25,B,Gakenke,barley,Local,loamy,7.78,54.3,35.8,36.9,129.4,57.8,0.8,DAP+Urea
PLT-0103,2024-11-09,C,Rusizi,beans,Bush,sandy,5.22,29.0,32.5,29.5,243.2,68.4,0.49,Urea
PLT-0104,2025-07-09,B,Kicukiro,soybean,Local,loamy,5.64,42.0,46.1,55.5,286.7,69.1,1.07,DAP+Urea
PLT-0105,2026-06-22,A,Gakenke,pea,Local,clayey,7.48,24.2,32.8,37.1,128.0,42.8,0.77,Manure
PLT-0106,2025-12-03,B,Gasabo,rice,Intsindagirabigega,clayey,6.85,60.9,37.5,25.3,266.1,31.9,2.94,DAP+Urea
PLT-0107,2026-12-04,B,Nyamagabe,cassava,Gahene,loamy,5.0,37.9,22.5,55.9,415.6,47.4,9.49,Urea
PLT-0108,2026-10-04,A,Musanze,barley,Local,sandy,7.05,51.8,35.1,28.9,281.1,53.2,1.29,Urea
PLT-0109,2024-05-22,B,Musanze,wheat,Local,clayey,5.66,80.0,58.2,44.9,441.2,51.7,1.75,NPK+Manure
PLT-0110,2026-01-07,B,Rulindo,pea,Local,clayey,7.1,45.4,36.1,42.4,599.3,55.3,0.83,NPK 17-17-17
PLT-0111,2026-03-19,C,Rwamagana,soybean,Local,loamy,6.99,12.6,23.9,17.1,574.3,67.3,0.39,None
PLT-0112,2026-10-04,A,Ruhango,banana,Local,alluvial,6.13,72.3,41.7,149.6,149.1,30.7,10.03,NPK+Manure
PLT-0113,2024-07-15,A,Nyanza,cassava,Gisari,sandy,5.86,29.0,13.6,27.5,543.9,57.5,7.04,None
PLT-0114,2025-01-11,A,Rulindo,tea,Local,loamy,5.53,70.7,29.3,50.3,275.9,48.1,1.22,Urea
PLT-0115,2024-10-27,B,Gakenke,irish_potatoes,Kinigi,clayey,5.43,61.7,58.4,101.8,435.6,68.6,5.77,Manure
PLT-0116,2024-03-26,A,Rubavu,cassava,Gisari,clayey,6.33,25.0,13.7,30.5,581.3,54.5,6.71,None
PLT-0117,2025-10-01,B,Gicumbi,wheat,Improved,sandy,6.55,61.6,41.2,32.7,162.9,41.4,1.02,Urea
PLT-0118,2026-11-27,B,Muhanga,banana,Improved,clayey,5.5,68.5,30.5,126.1,232.7,47.4,6.41,Urea
PLT-0119,2024-03-13,A,Nyamagabe,sugarcane,Local,clayey,5.42,89.4,53.2,87.9,100.6,40.9,39.92,NPK+Manure
PLT-0120,2024-01-10,B,Gatsibo,sunflower,Local,sandy,6.79,38.7,46.3,33.9,209.2,46.0,0.81,Urea
PLT-0121,2024-02-08,B,Nyagatare,sugarcane,Improved,alluvial,5.56,83.0,50.0,90.1,564.0,30.9,49.28,NPK+Manure
PLT-0122,2025-02-15,A,Huye,tomatoes,Improved,clayey,6.32,51.1,46.1,54.6,479.5,48.8,10.26,Urea
PLT-0123,2024-06-01,A,Kayonza,cotton,Improved,clayey,5.35,46.6,44.2,35.3,202.8,63.4,0.66,Manure
PLT-0124,2026-03-02,A,Ruhango,cassava,Ndamirabana,clayey,6.96,48.8,27.9,90.6,108.0,63.1,16.41,NPK+Manure
PLT-0125,2024-12-19,A,Musanze,irish_potatoes,Kirundo,sandy,5.27,102.2,90.6,136.7,547.1,39.0,10.39,DAP+Urea
PLT-0126,2025-04-23,A,Ngoma,sunflower,Improved,sandy,5.55,34.8,35.1,31.9,216.1,37.0,0.96,Manure
PLT-0127,2024-04-23,B,Nyarugenge,beans,Bush,sandy,6.37,44.7,40.1,36.7,541.5,61.3,0.73,NPK 17-17-17
PLT-0128,2026-04-26,B,Rulindo,barley,Local,clayey,7.34,56.5,40.2,37.3,385.6,59.6,1.64,NPK+Manure
PLT-0129,2024-02-10,A,Gatsibo,groundnut,Improved,sandy,6.32,19.8,34.3,28.1,483.2,58.4,0.66,Urea
PLT-0130,2025-08-16,A,Burera,barley,Local,loamy,5.78,47.1,33.0,27.3,263.7,54.7,0.75,DAP+Urea
PLT-0131,2026-05-06,A,Bugesera,groundnut,Local,loamy,5.33,24.2,35.0,32.6,337.2,56.3,0.56,Manure
PLT-0132,2024-01-14,A,Rulindo,tea,Improved,clayey,5.34,72.2,33.1,74.8,210.4,63.5,1.21,DAP+Urea
PLT-0133,2025-05-28,A,Nyaruguru,sugarcane,Improved,clayey,5.36,81.5,34.7,66.5,198.3,31.0,29.56,Manure
PLT-0134,2025-04-14,C,Kicukiro,rice,Zhongeng,loamy,5.15,30.9,20.8,13.2,217.6,33.6,1.05,None
PLT-0135,2024-03-25,A,Kayonza,sunflower,Local,sandy,5.97,36.0,32.8,40.4,259.9,34.8,0.82,Urea
PLT-0136,2026-11-28,C,Nyanza,soybean,Local,loamy,6.81,41.6,58.8,49.0,273.2,31.6,1.25,NPK 17-17-17
PLT-0137,2024-12-21,B,Rwamagana,cotton,Local,clayey,7.49,48.2,37.6,30.8,549.8,56.6,0.94,Manure
PLT-0138,2026-04-21,B,Nyabihu,beans,Bush,loamy,6.82,26.1,34.2,33.0,361.5,58.2,0.54,Manure
PLT-0139,2024-01-08,A,Rulindo,barley,Improved,sandy,7.46,36.7,36.2,35.5,373.4,30.5,1.15,DAP+Urea
PLT-0140,2024-10-04,C,Gicumbi,pea,Improved,loamy,7.31,32.0,36.7,35.4,350.6,31.0,0.59,Urea
PLT-0141,2024-11-01,A,Kirehe,cotton,Improved,alluvial,6.88,74.4,51.4,55.9,585.4,43.9,1.54,NPK 17-17-17
PLT-0142,2026-11-09,A,Rwamagana,banana,Improved,clayey,7.38,55.9,28.1,130.2,550.9,65.3,6.35,Manure
PLT-0143,2025-01-04,A,Ngoma,cotton,Improved,loamy,5.42,46.5,40.8,37.5,144.0,60.2,0.61,Manure
PLT-0144,2024-05-25,B,Kirehe,cotton,Local,alluvial,5.74,35.1,16.7,16.0,396.4,47.3,0.36,None
PLT-0145,2024-09-10,A,Nyarugenge,corn,Kigega,sandy,5.3,93.9,49.5,46.2,497.5,65.4,2.11,DAP+Urea
PLT-0146,2024-12-08,A,Kayonza,cotton,Local,loamy,5.83,24.2,28.4,15.5,193.6,61.0,0.64,None
PLT-0147,2025-06-17,A,Gasabo,corn,Kigega,sandy,5.91,43.6,21.9,29.2,509.4,57.2,0.84,None
PLT-0148,2024-01-26,A,Nyamasheke,irish_potatoes,Cruza,sandy,5.6,67.4,63.5,80.7,282.2,47.0,7.29,Manure
PLT-0149,2024-11-14,A,Bugesera,sugarcane,Local,alluvial,7.1,81.4,46.0,72.2,370.9,68.2,43.9,DAP+Urea
PLT-0150,2026-09-28,B,Gatsibo,rice,Kigori,clayey,5.85,100.4,46.7,44.9,357.5,62.2,3.39,DAP+Urea
PLT-0151,2024-06-07,B,Rubavu,cassava,Ndamirabana,loamy,5.5,31.2,22.5,73.5,147.3,35.8,11.73,DAP+Urea
PLT-0152,2025-08-04,B,Nyarugenge,corn,Kigega,alluvial,5.05,54.6,46.7,47.1,120.9,67.1,1.21,DAP+Urea
PLT-0153,2025-12-02,A,Rulindo,corn,Kigega,sandy,7.4,58.2,38.6,42.9,366.8,39.8,1.41,DAP+Urea
PLT-0154,2026-06-03,C,Gakenke,pea,Local,loamy,6.53,34.3,25.4,33.4,557.2,53.2,0.96,DAP+Urea
PLT-0155,2026-12-27,B,Ruhango,soybean,Local,clayey,6.09,39.9,46.6,50.0,198.6,58.0,1.05,DAP+Urea
PLT-0156,2025-03-03,A,Musanze,barley,Local,sandy,6.96,38.4,25.1,30.3,587.9,66.4,1.28,Urea
PLT-0157,2024-05-11,B,Nyabihu,irish_potatoes,Cruza,loamy,6.82,68.9,53.2,111.7,131.0,57.4,4.21,DAP+Urea
PLT-0158,2026-08-10,B,Bugesera,cotton,Local,clayey,7.77,34.1,18.9,28.3,369.7,49.5,0.37,None
PLT-0159,2025-06-23,A,Nyarugenge,banana,Improved,loamy,5.52,86.7,42.9,140.2,279.3,69.8,8.85,DAP+Urea
PLT-0160,2025-07-24,B,Ngoma,groundnut,Improved,loamy,5.93,31.8,37.3,45.2,539.4,50.7,0.91,NPK+Manure
PLT-0161,2026-01-05,C,Gakenke,tea,Local,loamy,5.48,59.5,30.4,70.2,490.9,64.2,1.09,Urea
PLT-0162,2024-09-05,C,Rusizi,banana,Local,alluvial,5.86,25.0,15.0,56.0,367.3,60.4,3.02,None
PLT-0163,2025-11-26,A,Rwamagana,sunflower,Improved,loamy,7.44,51.4,50.1,58.5,289.1,48.9,1.58,DAP+Urea
PLT-0164,2026-06-20,B,Bugesera,groundnut,Local,sandy,7.19,27.5,31.5,27.3,378.8,65.7,0.43,DAP+Urea
PLT-0165,2024-06-20,A,Gatsibo,corn,Hybrid WH,loamy,5.02,72.9,33.8,46.9,471.9,64.1,1.5,Manure
PLT-0166,2024-02-01,B,Musanze,tea,Local,loamy,5.06,88.6,39.4,81.4,206.8,58.7,1.86,NPK+Manure
PLT-0167,2024-01-17,B,Nyanza,sugarcane,Improved,loamy,5.2,70.1,33.8,51.6,584.1,44.6,27.23,Manure
PLT-0168,2025-11-25,B,Rubavu,tea,Improved,loamy,4.31,62.8,26.5,74.5,224.0,54.5,1.06,Manure
PLT-0169,2026-01-06,C,Nyanza,sweet_potato,Improved,sandy,4.97,33.5,25.2,71.6,526.6,42.2,3.39,Urea
PLT-0170,2025-04-21,B,Bugesera,groundnut,Local,loamy,5.63,26.8,25.9,33.0,261.1,64.7,0.74,Urea
PLT-0171,2025-06-07,B,Ruhango,tomatoes,Improved,clayey,5.78,56.3,54.6,58.1,335.1,52.9,6.59,DAP+Urea
PLT-0172,2026-05-08,B,Burera,wheat,Improved,loamy,5.14,27.0,18.8,21.7,541.3,68.8,0.44,None
PLT-0173,2024-08-03,A,Rubavu,coffee,Improved,clayey,6.59,43.2,25.9,56.7,416.8,45.4,0.4,Urea
PLT-0174,2024-11-08,C,Musanze,beans,Bush,sandy,5.73,22.4,21.6,23.4,572.6,48.1,0.3,None
PLT-0175,2024-01-01,B,Rulindo,wheat,Local,loamy,7.25,81.9,58.9,42.6,191.7,43.4,1.18,NPK 17-17-17
PLT-0176,2025-06-10,A,Nyabihu,banana,Improved,clayey,5.12,94.1,37.3,144.5,237.9,50.7,7.0,NPK+Manure
PLT-0177,2025-12-06,B,Gatsibo,sugarcane,Improved,loamy,6.81,68.1,34.8,53.1,280.4,55.6,36.79,DAP+Urea
PLT-0178,2025-10-19,C,Rusizi,banana,Improved,clayey,5.0,92.2,42.3,177.3,184.8,31.0,8.41,DAP+Urea
PLT-0179,2025-06-17,A,Gicumbi,pea,Local,loamy,5.33,30.1,34.5,33.6,280.5,67.9,0.76,Manure
PLT-0180,2025-11-24,C,Musanze,pea,Local,clayey,5.94,17.4,12.6,16.3,434.7,36.8,0.44,None
PLT-0181,2026-03-09,A,Ngoma,sugarcane,Local,alluvial,5.71,83.4,58.9,90.0,420.2,51.8,41.49,NPK+Manure
PLT-0182,2025-04-02,B,Nyarugenge,rice,Zhongeng,loamy,5.74,66.7,29.7,29.8,527.6,42.9,2.89,Manure
PLT-0183,2024-02-20,A,Kirehe,sorghum,Local,clayey,5.77,50.5,44.9,46.2,280.2,66.5,1.19,NPK+Manure
PLT-0184,2026-10-04,A,Rubavu,beans,Climbing,loamy,5.96,13.1,12.5,22.2,265.6,66.0,0.38,None
PLT-0185,2025-03-04,A,Gasabo,sweet_potato,Improved,sandy,6.0,42.2,41.3,82.5,452.9,44.3,5.64,DAP+Urea
PLT-0186,2026-08-27,A,Kirehe,cassava,Ndamirabana,clayey,4.81,45.3,21.4,53.0,347.1,37.4,9.73,Manure
PLT-0187,2026-12-21,C,Ngororero,coffee,Improved,clayey,6.14,66.2,42.8,86.0,489.0,35.5,0.73,NPK+Manure
PLT-0188,2026-04-08,A,Rulindo,wheat,Improved,sandy,5.26,65.5,54.3,42.9,289.9,64.1,1.09,NPK 17-17-17
PLT-0189,2024-06-23,B,Rwamagana,sugarcane,Improved,loamy,6.84,71.8,36.2,72.6,391.0,39.1,26.58,DAP+Urea
PLT-0190,2024-10-11,B,Kirehe,sunflower,Improved,sandy,6.38,27.0,26.5,24.4,297.5,55.8,0.42,None
PLT-0191,2026-02-18,A,Nyamasheke,coffee,Local,clayey,4.65,42.5,29.3,71.4,194.1,66.1,0.6,DAP+Urea
PLT-0192,2024-09-10,B,Gakenke,wheat,Local,sandy,6.37,65.5,32.4,33.0,359.5,43.3,1.04,DAP+Urea
PLT-0193,2025-09-09,B,Ngoma,sunflower,Local,sandy,7.07,33.8,37.4,32.5,475.5,50.6,1.01,DAP+Urea
PLT-0194,2025-02-09,A,Gicumbi,barley,Local,loamy,6.31,66.6,43.8,36.1,393.9,48.0,1.82,NPK 17-17-17
PLT-0195,2026-10-18,C,Gasabo,sweet_potato,Local,loamy,5.46,21.3,15.1,40.7,345.8,50.2,2.24,None
PLT-0196,2025-09-09,B,Musanze,tea,Local,clayey,4.28,59.3,34.8,60.3,510.5,63.3,0.85,Manure
PLT-0197,2026-09-01,C,Gicumbi,tea,Improved,loamy,5.92,57.8,37.5,58.3,345.2,51.4,0.76,DAP+Urea
PLT-0198,2025-05-21,C,Nyanza,coffee,Local,loamy,6.69,35.0,20.7,36.1,378.5,49.5,0.34,None
PLT-0199,2024-03-17,B,Nyagatare,sorghum,Improved,loamy,6.2,35.4,32.9,34.8,527.0,67.2,1.1,DAP+Urea
PLT-0200,2025-07-26,A,Nyaruguru,cassava,Gisari,clayey,6.98,31.1,28.4,52.8,448.3,38.0,11.01,DAP+Urea
PLT-0201,2024-09-03,B,Kirehe,groundnut,Local,loamy,5.29,29.8,42.4,40.1,599.5,44.1,0.7,NPK+Manure
